#
#  chlamycyc 8.0 Genes link table generated on Fri Jun 29, 2018
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
GIO2-5012		Cre06.g293800	
GIO2-5056		Cre03.g162333	
GIO2-1076		Cre07.g319320	
GIO2-2703		Cre03.g208050	
GIO2-590		Cre12.g513100	
GIO2-450		Cre01.g012600	
GIO2-918		Cre02.g081600	
GIO2-5179		Cre06.g300500	
GIO2-2834		Cre01.g054150	
GIO2-2290		Cre03.g152000	
GIO2-493		Cre09.g390200	
GIO2-1432		Cre09.g401750	
GIO2-2868		Cre16.g652150	
GIO2-1035		Cre02.g082852	
GIO2-715		Cre13.g607200	
GIO2-3250		Cre09.g396250	
GIO2-405		Cre01.g015200	
GIO2-2204		Cre10.g456900	
GIO2-717		Cre02.g104100	
CHRECP023	P07891	atpE	
GIO2-5167		Cre10.g456150	
GIO2-1012		Cre13.g577050	
GIO2-1155		Cre10.g430250	
GIO2-5066		Cre04.g216650	
GIO2-2378		Cre04.g230536	
GIO2-5133		Cre11.g467569	
GIO2-3575		Cre09.g392430	
GIO2-2315		Cre12.g514750	
GIO2-4943		Cre16.g657250	
GIO2-4313		Cre07.g321100	
G-15456	Q1RS82	PFL-AE	
GIO2-1171		Cre07.g346750	
CHLREDRAFT_159566	A8JC51	QCR9	
GIO2-4375		Cre10.g419800	
CHLREDRAFT_171165	A8ITL3	PKHD1-1	
GIO2-4392		Cre09.g417150	
GIO2-5131		Cre12.g523050	
