GIO2-4937-MONOMER	GIO2-4937		Cre17.g698600.t1.1	
GIO2-4697-MONOMER	GIO2-4697		Cre09.g402404.t1.1	
GIO2-1838-MONOMER	GIO2-1838		Cre09.g386735.t1.1	
CHLREDRAFT_188142-MONOMER	CHLREDRAFT_188142	Q6UP30	188142	188142
GIO2-4361-MONOMER	GIO2-4361		Cre13.g605100.t1.2	
GIO2-4144-MONOMER	GIO2-4144		Cre05.g234550.t1.2	
GIO2-997-MONOMER	GIO2-997		Cre10.g457450.t1.1	
GIO2-444-MONOMER	GIO2-444		Cre16.g671000.t1.2	
GIO2-3347-MONOMER	GIO2-3347		Cre09.g406000.t1.1	
GIO2-1788-MONOMER	GIO2-1788		Cre03.g165350.t1.1	
GIO2-2423-MONOMER	GIO2-2423		Cre08.g368950.t1.2	
GIO2-5209-MONOMER	GIO2-5209		Cre08.g372450.t1.2	
GIO2-1275-MONOMER	GIO2-1275		Cre06.g289850.t1.1	
GIO2-856-MONOMER	GIO2-856		Cre03.g154750.t1.2	
GIO2-2383-MONOMER	GIO2-2383		Cre16.g669125.t1.1	
GIO2-477-MONOMER	GIO2-477		Cre06.g307150.t1.1	
GIO2-355-MONOMER	GIO2-355		Cre06.g278261.t1.1	
GIO2-1650-MONOMER	GIO2-1650		Cre17.g719500.t1.1	
GIO2-4146-MONOMER	GIO2-4146		Cre10.g434750.t1.2	
GIO2-2793-MONOMER	GIO2-2793		Cre16.g655900.t1.2	
GIO2-855-MONOMER	GIO2-855		Cre03.g156900.t1.2	
GIO2-781-MONOMER	GIO2-781		Cre12.g522650.t1.1	
GIO2-652-MONOMER	GIO2-652		Cre09.g394436.t1.1	
GIO2-5027-MONOMER	GIO2-5027		Cre12.g529301.t1.1	
GIO2-3958-MONOMER	GIO2-3958		Cre12.g538650.t1.1	
GIO2-1895-MONOMER	GIO2-1895		Cre02.g141606.t1.1	
GIO2-1666-MONOMER	GIO2-1666		Cre13.g579800.t1.2	
CHLREDRAFT_171165-MONOMER	CHLREDRAFT_171165	A8ITL3	171165	171165
GIO2-5293-MONOMER	GIO2-5293		Cre14.g614100.t1.2	
GIO2-3746-MONOMER	GIO2-3746		Cre09.g410050.t1.2	
GIO2-737-MONOMER	GIO2-737		Cre03.g162300.t1.2	
GIO2-2224-MONOMER	GIO2-2224		Cre16.g690050.t1.2	
GIO2-2508-MONOMER	GIO2-2508		Cre09.g410950.t1.2	
GIO2-2037-MONOMER	GIO2-2037		Cre07.g312400.t1.1	
GIO2-1884-MONOMER	GIO2-1884		Cre12.g548651.t1.1	
GIO2-743-MONOMER	GIO2-743		Cre14.g623000.t1.1	
GIO2-5334-MONOMER	GIO2-5334		Cre08.g360350.t2.1	
GIO2-1579-MONOMER	GIO2-1579		Cre01.g018500.t1.1	
GIO2-629-MONOMER	GIO2-629		Cre09.g393321.t1.1	
GIO2-777-MONOMER	GIO2-777		Cre10.g437800.t1.1	
GIO2-3086-MONOMER	GIO2-3086		Cre12.g514050.t1.2	
GIO2-4767-MONOMER	GIO2-4767		Cre12.g494850.t1.2	
GIO2-5206-MONOMER	GIO2-5206		Cre01.g049000.t1.2	
GIO2-2446-MONOMER	GIO2-2446		Cre12.g491050.t1.2	
GIO2-2624-MONOMER	GIO2-2624		Cre04.g219787.t1.2	
GIO2-5004-MONOMER	GIO2-5004		Cre02.g079003.t1.1	
GIO2-745-MONOMER	GIO2-745		Cre03.g161000.t1.1	
GIO2-1651-MONOMER	GIO2-1651		Cre02.g146650.t1.1	
GIO2-2511-MONOMER	GIO2-2511		Cre16.g691552.t1.1	
GIO2-2473-MONOMER	GIO2-2473		Cre02.g085100.t1.2	
GIO2-3094-MONOMER	GIO2-3094		Cre12.g506600.t1.2	
GIO2-4881-MONOMER	GIO2-4881		Cre10.g422450.t1.2	
GIO2-3405-MONOMER	GIO2-3405		Cre08.g370650.t1.2	
GIO2-4010-MONOMER	GIO2-4010		Cre12.g519900.t1.2	
GIO2-1505-MONOMER	GIO2-1505		Cre13.g586400.t1.2	
CHLREDRAFT_97057-MONOMER	CHLREDRAFT_97057	A8I7T1	97057	97057
GIO2-956-MONOMER	GIO2-956		Cre16.g666334.t1.1	
GIO2-1536-MONOMER	GIO2-1536		Cre01.g032600.t1.1	
GIO2-730-MONOMER	GIO2-730		Cre10.g428150.t1.1	
GIO2-3628-MONOMER	GIO2-3628		Cre02.g076800.t1.2	
GIO2-2329-MONOMER	GIO2-2329		Cre03.g175400.t1.2	
GIO2-701-MONOMER	GIO2-701		Cre05.g241350.t1.1	
GIO2-853-MONOMER	GIO2-853		Cre16.g664200.t1.1	
GIO2-770-MONOMER	GIO2-770		Cre06.g257050.t1.1	
GIO2-1932-MONOMER	GIO2-1932		Cre16.g669150.t1.2	
GIO2-755-MONOMER	GIO2-755		Cre10.g426152.t1.1	
GIO2-1723-MONOMER	GIO2-1723		Cre03.g148450.t1.1	
GIO2-1804-MONOMER	GIO2-1804		Cre02.g119700.t1.1	
GIO2-693-MONOMER	GIO2-693		Cre06.g288150.t1.2	
GIO2-864-MONOMER	GIO2-864		Cre06.g310950.t1.2	
GIO2-2493-MONOMER	GIO2-2493		Cre01.g035300.t1.2	
GIO2-1694-MONOMER	GIO2-1694		Cre01.g052650.t1.1	
GIO2-5152-MONOMER	GIO2-5152		Cre02.g090550.t1.1	
GIO2-957-MONOMER	GIO2-957		Cre10.g428400.t1.1	
GIO2-455-MONOMER	GIO2-455		Cre07.g343933.t1.1	
GIO2-3206-MONOMER	GIO2-3206		Cre12.g543400.t1.2	
CHLREDRAFT_194226-MONOMER	CHLREDRAFT_194226	A8JEB2	194226	194226
GIO2-3395-MONOMER	GIO2-3395		Cre02.g083500.t1.2	
GIO2-5139-MONOMER	GIO2-5139		Cre12.g493700.t1.2	
GIO2-3591-MONOMER	GIO2-3591		Cre03.g200767.t1.1	
GIO2-1582-MONOMER	GIO2-1582		Cre06.g273000.t1.2	
GIO2-2983-MONOMER	GIO2-2983		Cre10.g424750.t1.2	
GIO2-1069-MONOMER	GIO2-1069		Cre07.g316992.t1.2	
GIO2-3403-MONOMER	GIO2-3403		Cre02.g145050.t1.2	
GIO2-482-MONOMER	GIO2-482		Cre08.g369850.t1.1	
GIO2-1073-MONOMER	GIO2-1073		Cre14.g631850.t1.2	
GIO2-3552-MONOMER	GIO2-3552		Cre06.g296550.t1.2	
GIO2-891-MONOMER	GIO2-891		Cre12.g527100.t1.1	
